date,platform,country,competitor,store_id_or_url,keyword,organic_rank,apple_ads_bid_keyword,source,availability,note
2026-07-31,Apple App Store,US,Card Grader Pro,https://apps.apple.com/us/app/card-grader-pro/id6743489803,unknown,,,Qimai/MobileAction export unavailable; public App Store listing used only for store-presence verification,unavailable,"No current, exportable US-English keyword-rank or Apple Ads bid-keyword data was provided or accessible."
2026-07-31,Google Play,US,Card Grader Pro,unknown,unknown,,,Qimai/MobileAction export unavailable; no verifiable US Google Play listing found in this run,unknown,"Google Play availability and package name are unknown; this is not evidence of absence. No current keyword-rank data was accessible."
2026-07-31,Apple App Store,US,Binder AI: Card Grading Tool,https://apps.apple.com/us/app/binder-ai-card-grading-tool/id6744124434,unknown,,,Qimai/MobileAction export unavailable; public App Store listing used only for store-presence verification,unavailable,"New observation. Its stated AI card condition analysis and pre-submission use case make it an adjacent competitor; no current keyword-rank or Apple Ads bid-keyword data was accessible."
2026-07-31,Google Play,US,Binder AI: Card Grading Tool,https://play.google.com/store/apps/details?id=com.globaldominance.binder,unknown,,,Qimai/MobileAction export unavailable; public Google Play listing used only for store-presence verification,unavailable,"New observation. Its stated AI card condition analysis and pre-submission use case make it an adjacent competitor; no current keyword-rank data was accessible; Apple Ads does not apply to Google Play."
2026-07-27,Apple App Store,US,HoloDex - TCG Scan & Collect,https://apps.apple.com/us/app/holodex-tcg-scan-collect/id6747442689,card scanner,9,,HoloDex ASM export 2026-07-27 (user-provided third-party export),available,"Explicit 搜索自然排名. The reported 3 bidding apps and 33% bidding share are market-level fields, not HoloDex bid evidence."
2026-07-27,Apple App Store,US,HoloDex - TCG Scan & Collect,https://apps.apple.com/us/app/holodex-tcg-scan-collect/id6747442689,pokemon card scanner,5,,HoloDex ASM export 2026-07-27 (user-provided third-party export),available,"Explicit 搜索自然排名. The reported 1 bidding app and 100% bidding share are market-level fields, not HoloDex bid evidence."
2026-07-27,Apple App Store,US,HoloDex - TCG Scan & Collect,https://apps.apple.com/us/app/holodex-tcg-scan-collect/id6747442689,grading,3,,HoloDex ASM export 2026-07-27 (user-provided third-party export),available,"Explicit 搜索自然排名. The reported 2 bidding apps and 50% bidding share are market-level fields, not HoloDex bid evidence."
2026-08-04,Apple App Store,US,HoloDex - TCG Scan & Collect,https://apps.apple.com/us/app/holodex-tcg-scan-collect/id6747442689,unknown,,,Public Apple App Store listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible in the US store. Listing positions scan, AI grading insights, collection organization, and market prices. No current, exportable US-English keyword-rank or Apple Ads bid-keyword data was provided or accessible."
2026-08-04,Google Play,US,HoloDex - TCG Scan & Collect,https://play.google.com/store/apps/details?id=com.getholodex.app,unknown,,,Public Google Play listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible. No current, exportable US-English keyword-rank data was provided or accessible; Apple Ads does not apply to Google Play."
2026-08-04,Apple App Store,US,Card Grader Pro,https://apps.apple.com/us/app/card-grader-pro/id6743489803,unknown,,,Public Apple App Store listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible in the US store. Listing positions AI estimates, optional human grading, market, community, and card prices. No current, exportable US-English keyword-rank or Apple Ads bid-keyword data was provided or accessible."
2026-08-04,Google Play,US,Card Grader Pro,https://play.google.com/store/apps/details?id=com.danielyaakob.packFresh,unknown,,,Public Google Play listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible. No current, exportable US-English keyword-rank data was provided or accessible; Apple Ads does not apply to Google Play."
2026-08-04,Apple App Store,US,Card Grading AI,https://apps.apple.com/us/app/card-grading-ai/id6752859834,unknown,,,Public Apple App Store listing discovery; Qimai/MobileAction current export unavailable,unavailable,"New observation. Direct competitor: its listing describes AI pre-grading from front/back images with centering, edges, surface, and corners before official submission. No current keyword-rank or Apple Ads bid-keyword data was accessible."
2026-08-04,Google Play,US,Card Grading AI,https://play.google.com/store/apps/details?id=com.gradeai.yourapp,unknown,,,Public Google Play listing discovery; Qimai/MobileAction current export unavailable,unavailable,"New observation. Direct competitor: its listing describes AI pre-grading with centering, corners, edges, and surface subgrades, plus collection tracking. No current keyword-rank data was accessible; Apple Ads does not apply to Google Play."
2026-08-04,Apple App Store,US,CardVis - Sports & TCG Grading,https://apps.apple.com/us/app/cardvis-sports-tcg-grading/id6751605950,unknown,,,Public Apple App Store listing discovery; Qimai/MobileAction current export unavailable,unavailable,"New observation. Direct competitor: its listing offers AI condition analysis across centering, edges, surface, and corners plus grading reports and collection management. No current keyword-rank or Apple Ads bid-keyword data was accessible."
2026-08-04,Google Play,US,Card Grader App,https://play.google.com/store/apps/details?id=com.ardasen.cardgrader,unknown,,,Public Google Play listing discovery; Qimai/MobileAction current export unavailable,unavailable,"New observation. Direct competitor: its listing describes AI grading from front/back photos for centering, corners, edges, and surface, with estimated grades and collection saving. No current keyword-rank data was accessible; Apple Ads does not apply to Google Play."
2026-08-05,Apple App Store,US,HoloDex - TCG Scan & Collect,https://apps.apple.com/us/app/holodex-tcg-scan-collect/id6747442689,unknown,,,Public Apple App Store listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible in the US store. Listing positions scan, AI grading insights, collection organization, and market prices. No current, exportable US-English keyword-rank or Apple Ads bid-keyword data was provided or accessible."
2026-08-05,Google Play,US,HoloDex - TCG Scan & Collect,https://play.google.com/store/apps/details?id=com.getholodex.app,unknown,,,Public Google Play listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible. No current, exportable US-English keyword-rank data was provided or accessible; Apple Ads does not apply to Google Play."
2026-08-05,Apple App Store,US,Card Grader Pro,https://apps.apple.com/us/app/card-grader-pro/id6743489803,unknown,,,Public Apple App Store listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible in the US store. Listing positions AI estimates, optional human grading, market, community, and card prices. No current, exportable US-English keyword-rank or Apple Ads bid-keyword data was provided or accessible."
2026-08-05,Google Play,US,Card Grader Pro,https://play.google.com/store/apps/details?id=com.danielyaakob.packFresh,unknown,,,Public Google Play listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible. No current, exportable US-English keyword-rank data was provided or accessible; Apple Ads does not apply to Google Play."
2026-08-05,Apple App Store,US,Card Grading AI,https://apps.apple.com/us/app/card-grading-ai/id6752859834,unknown,,,Prior public Apple App Store discovery; Qimai/MobileAction current export unavailable,unavailable,"Previously observed direct competitor: its listing describes AI pre-grading from front/back images with centering, edges, surface, and corners before official submission. No current keyword-rank or Apple Ads bid-keyword data was accessible."
2026-08-05,Google Play,US,Card Grading AI,https://play.google.com/store/apps/details?id=com.gradeai.yourapp,unknown,,,Prior public Google Play discovery; Qimai/MobileAction current export unavailable,unavailable,"Previously observed direct competitor: its listing describes AI pre-grading with centering, corners, edges, and surface subgrades, plus collection tracking. No current keyword-rank data was accessible; Apple Ads does not apply to Google Play."
2026-08-05,Apple App Store,US,CardVis - Sports & TCG Grading,https://apps.apple.com/us/app/cardvis-sports-tcg-grading/id6751605950,unknown,,,Prior public Apple App Store discovery; Qimai/MobileAction current export unavailable,unavailable,"Previously observed direct competitor: its listing offers AI condition analysis across centering, edges, surface, and corners plus grading reports and collection management. No current keyword-rank or Apple Ads bid-keyword data was accessible."
2026-08-05,Google Play,US,Card Grader App,https://play.google.com/store/apps/details?id=com.ardasen.cardgrader,unknown,,,Prior public Google Play discovery; Qimai/MobileAction current export unavailable,unavailable,"Previously observed direct competitor: its listing describes AI grading from front/back photos for centering, corners, edges, and surface, with estimated grades and collection saving. No current keyword-rank data was accessible; Apple Ads does not apply to Google Play."
